Date,Average Unemployment,Average Inflation,AI Index
2024-10,7.758508063,0.572,-0.834543642
2024-09,7.722682027,0.673142857,-0.781138203
2024-08,7.59147126,0.744285714,-0.898798672
2024-07,7.498405102,0.655714286,-0.883700182
2024-06,7.379965261,0.560571429,-0.854290869
2024-05,7.24795994,0.589428571,-0.718118176
2024-04,7.203218268,0.435714286,-0.720611793
2024-03,7.17993335,0.361714286,-0.748976505
2024-02,7.163277488,0.621714286,-0.52929326
2024-01,7.182741214,0.782857143,-0.415294821
2023-12,7.170504321,0.638571429,-0.456252716
2023-11,7.261092286,0.733714286,-0.743493694
2023-10,7.453157535,0.858,-0.531124767
2023-09,7.402240258,1.044285714,-0.498821781
2023-08,7.329758973,1.048571429,-0.650726904
2023-07,7.164823591,1.067714286,-0.47881662
2023-06,7.030183803,0.846857143,-0.543770563
2023-05,6.924898677,0.691714286,-0.74744477
2023-04,6.946497229,0.721142857,-0.605268007
2023-03,6.912248778,0.787714286,-0.390887741
2023-02,6.867132928,0.893142857,-0.336573172
2023-01,6.889880365,0.937714286,-0.409584658
2022-12,6.896998975,0.821142857,-0.468287072
2022-11,7.020913784,0.826571429,-0.273777073
2022-10,7.213286716,0.833714286,-0.408125216
2022-09,7.173980683,0.969142857,-0.364566367
2022-08,6.998937293,1.036285714,-0.400864571
2022-07,6.832507773,1.105428571,-0.568396872
2022-06,6.675699583,1.040571429,-0.551316536
2022-05,6.487388431,0.994857143,-0.647473587
2022-04,6.519093576,0.808571429,-0.661401587
2022-03,6.482165819,0.907428571,-0.464603058
2022-02,6.426327299,1.246857143,-0.557649835
2022-01,6.421226531,1.183428571,-0.705241319
2021-12,6.427614183,0.653714286,-0.621520568
2021-11,6.439196269,0.659428571,-0.607495693
2021-10,6.537366694,0.603142857,-0.497296778
2021-09,6.480709322,0.784,-0.276761605
2021-08,6.358957357,1.070571429,-0.335016133
2021-07,6.214370011,1.194,-0.308398945
2021-06,6.036753593,0.893142857,-0.187981955
2021-05,5.96721499,0.722,-0.27736866
2021-04,5.950884046,0.714857143,-0.255602866
2021-03,5.944436569,0.663142857,-0.279539728
2021-02,5.905899186,0.583714286,-0.168464024
2021-01,5.957322136,0.804571429,-0.180886686
2020-12,5.959784153,0.59,-0.28392276
2020-11,6.008759387,0.803142857,-0.237775959
2020-10,6.171690222,0.818285714,-0.363693589
2020-09,6.160994632,0.879428571,-0.262762524
2020-08,6.105482987,0.697142857,-0.243721708
2020-07,5.98810721,0.344571429,-0.292079776
2020-06,5.866062643,0.290571429,-0.5685504
2020-05,5.760061997,0.646571429,-0.532937226
2020-04,5.825725598,0.471428571,-0.458163938
2020-03,5.803803406,0.460571429,-0.350227065
2020-02,5.75377243,0.468,-0.275216707
2020-01,5.788792238,0.578857143,-0.350395914
2019-12,5.845328957,0.488,-0.25324224
2019-11,5.942007583,0.595428571,-0.213515379
2019-10,6.156698243,0.795714286,-0.260094977
2019-09,6.117792316,0.735428571,-0.213699857
2019-08,6.749111773,1.001428571,-0.148653779
2019-07,8.126561772,1.154,0.007314735
2019-06,8.235758619,1.118,0.121696479
2019-05,8.149100643,0.947428571,0.075772064
2019-04,8.18959267,1.095428571,0.086365808
2019-03,7.969308691,1.023714286,0.073320504
2019-02,7.894931175,1.244857143,0.068406694
2019-01,7.847008949,1.543428571,0.176802422
2018-12,7.799964692,1.499714286,0.175662232
2018-11,7.826769747,1.728285714,0.181882159
2018-10,8.015410633,1.826857143,0.204603721
2018-09,8.009100297,1.81,0.177045708
2018-08,7.907460123,2.682,0.181934137
2018-07,7.821100226,2.349142857,0.201813534
2018-06,7.503091065,2.366,0.348110748
2018-05,7.11917731,2.529428571,0.464812462
2018-04,6.86198968,2.175142857,0.584464092
2018-03,6.697076732,2.048857143,0.78601312
2018-02,6.502808978,2.317428571,0.814535657
2018-01,6.412925175,2.398285714,0.692259156
2017-12,6.296562625,2.212857143,0.74468966
2017-11,6.2156505,2.022857143,0.749607825
2017-10,6.339640999,2.355142857,0.886957151
2017-09,6.151090202,2.15,1.039314081
2017-08,6.031735363,2.228,1.0057724
2017-07,5.814864655,1.892857143,1.023969497
2017-06,5.61960802,1.410285714,1.063554689
2017-05,5.519789369,1.568,1.103072622
2017-04,5.650216126,1.976857143,1.251316944
2017-03,5.647188322,1.882571429,1.085738607
2017-02,5.654656442,1.576285714,1.272431039
2017-01,5.66071951,1.348285714,0.956954127
2016-12,5.65984283,1.054,0.957145081
2016-11,5.906829006,0.92,0.937506866
2016-10,6.084915475,1.17,1.131803618
2016-09,5.961004596,1.293714286,1.353886956
2016-08,5.820021709,1.229142857,1.278781071
2016-07,5.769072243,1.088571429,1.204706556
2016-06,5.674354562,1.039428571,1.187043455
2016-05,5.597329752,0.821764706,1.281166993
2016-04,5.60864403,0.957352941,1.130222745
2016-03,5.661187405,0.74,0.915709984
2016-02,5.654771787,0.645,1.14622626
2016-01,5.669234316,0.78137931,1.294641287
